Stage,TruthRow,FramesWithIntersection,InjectedVolumeCoverage,IntersectingRuns,LongestConsecutiveIntersectionFrames,RowAndNativeBounds
percentile_only,1,15,0.679038652130823,1,15,1:1-600;
percentile_only,2,15,0.656293359762141,1,14,1:1-600;
percentile_only,3,16,0.639246778989098,1,16,1:1-600;
percentile_only,4,14,0.612190287413281,1,14,1:1-600;
percentile_only,5,16,0.690485629335976,1,16,1:1-600;
percentile_only,6,16,0.689742319127849,1,16,1:1-600;
physical_area_only,1,14,0.67814667988107,1,14,1:1-600;
physical_area_only,2,14,0.65589692765114,1,14,1:1-600;
physical_area_only,3,14,0.636719524281467,1,14,1:1-600;
physical_area_only,4,13,0.587314172447968,1,13,1:1-600;
physical_area_only,5,14,0.688751238850347,1,14,1:1-600;
physical_area_only,6,15,0.67784935579782,1,15,1:1-600;
candidate_geometry_tissue,1,14,0.67814667988107,1,14,1:1-349;
candidate_geometry_tissue,2,14,0.65589692765114,1,14,1:1-349;
candidate_geometry_tissue,3,14,0.636719524281467,1,14,1:1-349;
candidate_geometry_tissue,4,11,0.487314172447968,1,7,1:1-349;
candidate_geometry_tissue,5,13,0.638800792864222,1,12,1:1-349;
candidate_geometry_tissue,6,13,0.627601585728444,1,7,1:1-349;
adjacent_tracks_before_duration,1,14,0.67814667988107,4,6,304:44-48;346:49-50;365:51-56;408:57-57;
adjacent_tracks_before_duration,2,14,0.65589692765114,4,12,488:69-69;494:70-81;582:82-82;583:82-82;
adjacent_tracks_before_duration,3,14,0.636719524281467,3,12,731:114-114;735:115-126;779:127-127;
adjacent_tracks_before_duration,4,11,0.487314172447968,8,3,898:149-149;906:150-150;917:151-152;931:153-155;947:157-157;954:159-159;959:160-160;962:161-161;
adjacent_tracks_before_duration,5,13,0.638800792864222,2,12,1150:199-210;1227:212-212;
adjacent_tracks_before_duration,6,13,0.627601585728444,2,7,1447:249-255;1473:257-262;
ten_second_duration,1,0,0,0,0,
ten_second_duration,2,12,0.599653121902874,1,12,2:70-81;
ten_second_duration,3,12,0.598315163528246,1,12,5:115-126;
ten_second_duration,4,0,0,0,0,
ten_second_duration,5,12,0.594350842418236,1,12,10:199-210;
ten_second_duration,6,0,0,0,0,
recurring_sites,1,0,0,0,0,
recurring_sites,2,12,0.599653121902874,1,12,2:70-81;
recurring_sites,3,12,0.598315163528246,1,12,2:115-126;
recurring_sites,4,0,0,0,0,
recurring_sites,5,12,0.594350842418236,1,12,2:199-210;
recurring_sites,6,0,0,0,0,
