PixelSizeUm,SampleHz,RadiusUm,SpeedUmPerSec,TrackingOverlapFraction,MinAreaUm2,MinAreaPixels,CandidateAreaPixels,InputFrames,AreaQualifiedFrames,RetainedRuns,Sites,LongestRunFrames,PreviousRuleRuns
2.35,0.5,120,9.5,0.6,9025,1635,8197,6,6,1,1,6,1
2.35,0.5,120,9.5,0.7,9025,1635,8197,6,6,1,1,6,1
2.35,0.5,120,9.5,0.8,9025,1635,8197,6,6,1,1,6,1
2.35,0.5,120,19,0.5,9025,1635,8197,6,6,1,1,6,1
2.35,0.5,120,19,0.6,9025,1635,8197,6,6,1,1,6,1
2.35,0.5,120,19,0.7,9025,1635,8197,6,6,1,1,6,1
2.35,0.5,120,19,0.8,9025,1635,8197,6,6,1,1,5,1
2.35,0.5,120,38,0.5,9025,1635,8197,6,6,1,1,6,0
2.35,0.5,120,38,0.6,9025,1635,8197,6,6,0,0,0,0
2.35,0.5,120,38,0.7,9025,1635,8197,6,6,0,0,0,0
2.35,0.5,120,38,0.8,9025,1635,8197,6,6,0,0,0,0
2.35,1,45,0,0.5,9025,1635,1153,12,0,0,0,0,1
2.35,1,45,0,0.6,9025,1635,1153,12,0,0,0,0,1
2.35,1,45,0,0.7,9025,1635,1153,12,0,0,0,0,1
2.35,1,45,0,0.8,9025,1635,1153,12,0,0,0,0,1
2.35,1,45,4.75,0.5,9025,1635,1153,12,0,0,0,0,1
2.35,1,45,4.75,0.6,9025,1635,1153,12,0,0,0,0,1
2.35,1,45,4.75,0.7,9025,1635,1153,12,0,0,0,0,1
2.35,1,45,4.75,0.8,9025,1635,1153,12,0,0,0,0,1
2.35,1,45,9.5,0.5,9025,1635,1153,12,0,0,0,0,0
2.35,1,45,9.5,0.6,9025,1635,1153,12,0,0,0,0,0
2.35,1,45,9.5,0.7,9025,1635,1153,12,0,0,0,0,0
2.35,1,45,9.5,0.8,9025,1635,1153,12,0,0,0,0,0
2.35,1,45,19,0.5,9025,1635,1153,12,0,0,0,0,0
2.35,1,45,19,0.6,9025,1635,1153,12,0,0,0,0,0
2.35,1,45,19,0.7,9025,1635,1153,12,0,0,0,0,0
2.35,1,45,19,0.8,9025,1635,1153,12,0,0,0,0,0
2.35,1,45,38,0.5,9025,1635,1153,12,0,0,0,0,0
2.35,1,45,38,0.6,9025,1635,1153,12,0,0,0,0,0
2.35,1,45,38,0.7,9025,1635,1153,12,0,0,0,0,0
2.35,1,45,38,0.8,9025,1635,1153,12,0,0,0,0,0
2.35,1,60,0,0.5,9025,1635,2053,12,12,1,1,12,1
2.35,1,60,0,0.6,9025,1635,2053,12,12,1,1,12,1
2.35,1,60,0,0.7,9025,1635,2053,12,12,1,1,12,1
2.35,1,60,0,0.8,9025,1635,2053,12,12,1,1,12,1
2.35,1,60,4.75,0.5,9025,1635,2053,12,12,1,1,12,1
2.35,1,60,4.75,0.6,9025,1635,2053,12,12,1,1,12,1
2.35,1,60,4.75,0.7,9025,1635,2053,12,12,1,1,12,1
2.35,1,60,4.75,0.8,9025,1635,2053,12,12,1,1,12,1
2.35,1,60,9.5,0.5,9025,1635,2053,12,12,1,1,12,0
2.35,1,60,9.5,0.6,9025,1635,2053,12,12,1,1,12,0
2.35,1,60,9.5,0.7,9025,1635,2053,12,12,1,1,12,0
2.35,1,60,9.5,0.8,9025,1635,2053,12,12,1,1,12,0
2.35,1,60,19,0.5,9025,1635,2053,12,12,1,1,12,0
2.35,1,60,19,0.6,9025,1635,2053,12,12,1,1,12,0
2.35,1,60,19,0.7,9025,1635,2053,12,12,1,1,12,0
2.35,1,60,19,0.8,9025,1635,2053,12,12,0,0,0,0
2.35,1,60,38,0.5,9025,1635,2053,12,12,1,1,12,0
2.35,1,60,38,0.6,9025,1635,2053,12,12,0,0,0,0
